Splitting dataset into train/validation...
Train: 12418, Val: 1380
{'loss': 0.0892, 'grad_norm': 0.4693257212638855, 'learning_rate': 0.0001794376475638549, 'epoch': 0.31}
{'loss': 0.1226, 'grad_norm': 0.4111939072608948, 'learning_rate': 0.00017900837089504184, 'epoch': 0.32}
{'loss': 0.1217, 'grad_norm': 0.4143739640712738, 'learning_rate': 0.00017857909422622882, 'epoch': 0.32}
{'eval_loss': 0.11962883919477463, 'eval_runtime': 140.7716, 'eval_samples_per_second': 9.803, 'eval_steps_per_second': 4.902, 'epoch': 0.32}
{'loss': 0.1286, 'grad_norm': 0.4167363941669464, 'learning_rate': 0.00017814981755741576, 'epoch': 0.33}
{'loss': 0.1212, 'grad_norm': 0.3319636285305023, 'learning_rate': 0.0001777205408886027, 'epoch': 0.33}
{'loss': 0.091, 'grad_norm': 0.31832483410835266, 'learning_rate': 0.00017729126421978965, 'epoch': 0.34}
{'loss': 0.1113, 'grad_norm': 0.3380416929721832, 'learning_rate': 0.0001768619875509766, 'epoch': 0.35}
{'loss': 0.126, 'grad_norm': 0.36064356565475464, 'learning_rate': 0.00017643271088216357, 'epoch': 0.35}
{'loss': 0.1042, 'grad_norm': 0.4607725739479065, 'learning_rate': 0.0001760034342133505, 'epoch': 0.36}
{'loss': 0.1005, 'grad_norm': 0.27147284150123596, 'learning_rate': 0.00017557415754453746, 'epoch': 0.37}
{'loss': 0.1391, 'grad_norm': 0.26098600029945374, 'learning_rate': 0.0001751448808757244, 'epoch': 0.37}
{'loss': 0.0878, 'grad_norm': 0.24684694409370422, 'learning_rate': 0.00017471560420691135, 'epoch': 0.38}
{'loss': 0.1029, 'grad_norm': 0.4461175203323364, 'learning_rate': 0.0001742863275380983, 'epoch': 0.39}
{'eval_loss': 0.11555536091327667, 'eval_runtime': 140.5448, 'eval_samples_per_second': 9.819, 'eval_steps_per_second': 4.909, 'epoch': 0.39}
{'loss': 0.0964, 'grad_norm': 0.25896012783050537, 'learning_rate': 0.00017385705086928526, 'epoch': 0.39}
{'loss': 0.0892, 'grad_norm': 0.21817554533481598, 'learning_rate': 0.0001734277742004722, 'epoch': 0.4}
{'loss': 0.0998, 'grad_norm': 0.3287583589553833, 'learning_rate': 0.00017299849753165915, 'epoch': 0.41}
{'loss': 0.1007, 'grad_norm': 0.3671376705169678, 'learning_rate': 0.0001725692208628461, 'epoch': 0.41}
{'loss': 0.0902, 'grad_norm': 0.35619091987609863, 'learning_rate': 0.00017213994419403304, 'epoch': 0.42}
{'loss': 0.1189, 'grad_norm': 0.23594282567501068, 'learning_rate': 0.00017171066752522002, 'epoch': 0.43}
{'loss': 0.1251, 'grad_norm': 0.2947136461734772, 'learning_rate': 0.00017128139085640696, 'epoch': 0.43}
{'loss': 0.1137, 'grad_norm': 0.42782747745513916, 'learning_rate': 0.0001708521141875939, 'epoch': 0.44}
{'loss': 0.0989, 'grad_norm': 0.24801115691661835, 'learning_rate': 0.00017042283751878085, 'epoch': 0.44}
{'loss': 0.1199, 'grad_norm': 0.3796466886997223, 'learning_rate': 0.0001699935608499678, 'epoch': 0.45}
{'eval_loss': 0.11318030208349228, 'eval_runtime': 140.7904, 'eval_samples_per_second': 9.802, 'eval_steps_per_second': 4.901, 'epoch': 0.45}
{'loss': 0.1261, 'grad_norm': 0.36968523263931274, 'learning_rate': 0.00016956428418115474, 'epoch': 0.46}
{'loss': 0.0938, 'grad_norm': 0.5833774209022522, 'learning_rate': 0.00016913500751234171, 'epoch': 0.46}
{'loss': 0.1145, 'grad_norm': 0.2658049166202545, 'learning_rate': 0.00016870573084352866, 'epoch': 0.47}
{'loss': 0.1204, 'grad_norm': 0.3259272575378418, 'learning_rate': 0.0001682764541747156, 'epoch': 0.48}
{'loss': 0.092, 'grad_norm': 0.5333102941513062, 'learning_rate': 0.00016784717750590255, 'epoch': 0.48}
{'loss': 0.1217, 'grad_norm': 0.27116039395332336, 'learning_rate': 0.0001674179008370895, 'epoch': 0.49}
{'loss': 0.094, 'grad_norm': 0.2718770205974579, 'learning_rate': 0.00016698862416827647, 'epoch': 0.5}
