Splitting dataset into train/validation...
Train: 12418, Val: 1380
Tokenizing datasets...
{'loss': 0.0394, 'grad_norm': 0.02032303251326084, 'learning_rate': 9.903711515859717e-05, 'epoch': 0.31}
{'loss': 0.0384, 'grad_norm': 0.369861900806427, 'learning_rate': 9.896709704676397e-05, 'epoch': 0.32}
{'loss': 0.0249, 'grad_norm': 0.7223731875419617, 'learning_rate': 9.889464825731054e-05, 'epoch': 0.32}
{'eval_loss': 0.04130197688937187, 'eval_runtime': 118.0298, 'eval_samples_per_second': 11.692, 'eval_steps_per_second': 5.846, 'epoch': 0.32}
{'loss': 0.0071, 'grad_norm': 0.1726243942975998, 'learning_rate': 9.88197723865222e-05, 'epoch': 0.33}
{'loss': 0.0566, 'grad_norm': 1.930424451828003, 'learning_rate': 9.874247315116214e-05, 'epoch': 0.33}
{'loss': 0.0437, 'grad_norm': 0.0394630990922451, 'learning_rate': 9.866275438828693e-05, 'epoch': 0.34}
{'loss': 0.0634, 'grad_norm': 2.6539127826690674, 'learning_rate': 9.858062005505604e-05, 'epoch': 0.35}
{'loss': 0.0365, 'grad_norm': 2.0145809650421143, 'learning_rate': 9.849607422853547e-05, 'epoch': 0.35}
{'loss': 0.0207, 'grad_norm': 1.7828788757324219, 'learning_rate': 9.84091211054953e-05, 'epoch': 0.36}
{'loss': 0.0258, 'grad_norm': 0.10917258262634277, 'learning_rate': 9.831976500220143e-05, 'epoch': 0.37}
{'loss': 0.0242, 'grad_norm': 0.6166478991508484, 'learning_rate': 9.822801035420126e-05, 'epoch': 0.37}
{'loss': 0.0368, 'grad_norm': 0.10804957896471024, 'learning_rate': 9.813386171610352e-05, 'epoch': 0.38}
{'loss': 0.0158, 'grad_norm': 0.6978862285614014, 'learning_rate': 9.803732376135232e-05, 'epoch': 0.39}
{'eval_loss': 0.02784682624042034, 'eval_runtime': 118.5033, 'eval_samples_per_second': 11.645, 'eval_steps_per_second': 5.823, 'epoch': 0.39}
{'loss': 0.0433, 'grad_norm': 2.789006233215332, 'learning_rate': 9.793840128199492e-05, 'epoch': 0.39}
{'loss': 0.0609, 'grad_norm': 2.8337039947509766, 'learning_rate': 9.783709918844406e-05, 'epoch': 0.4}
{'loss': 0.0385, 'grad_norm': 2.487048387527466, 'learning_rate': 9.773342250923415e-05, 'epoch': 0.41}
{'loss': 0.0227, 'grad_norm': 1.8854210376739502, 'learning_rate': 9.762737639077162e-05, 'epoch': 0.41}
{'loss': 0.0339, 'grad_norm': 0.33646509051322937, 'learning_rate': 9.751896609707953e-05, 'epoch': 0.42}
{'loss': 0.0211, 'grad_norm': 0.0453263558447361, 'learning_rate': 9.740819700953618e-05, 'epoch': 0.43}
{'loss': 0.0259, 'grad_norm': 0.014099737629294395, 'learning_rate': 9.729507462660807e-05, 'epoch': 0.43}
{'loss': 0.042, 'grad_norm': 0.5430487394332886, 'learning_rate': 9.717960456357689e-05, 'epoch': 0.44}
{'loss': 0.0523, 'grad_norm': 0.8952751159667969, 'learning_rate': 9.706179255226088e-05, 'epoch': 0.44}
{'loss': 0.0358, 'grad_norm': 0.3166406452655792, 'learning_rate': 9.694164444073017e-05, 'epoch': 0.45}
{'eval_loss': 0.029119201004505157, 'eval_runtime': 119.2935, 'eval_samples_per_second': 11.568, 'eval_steps_per_second': 5.784, 'epoch': 0.45}
{'loss': 0.0569, 'grad_norm': 1.7686816453933716, 'learning_rate': 9.68191661930166e-05, 'epoch': 0.46}
{'loss': 0.0288, 'grad_norm': 0.14738363027572632, 'learning_rate': 9.669436388881767e-05, 'epoch': 0.46}
{'loss': 0.0134, 'grad_norm': 1.1200230121612549, 'learning_rate': 9.656724372319463e-05, 'epoch': 0.47}
