Splitting dataset into train/validation...
Train: 12418, Val: 1380
{'loss': 4.3804, 'grad_norm': 3.0407299995422363, 'learning_rate': 0.00019961365099806827, 'epoch': 0.01}
{'loss': 0.447, 'grad_norm': 0.5817793011665344, 'learning_rate': 0.0001991843743292552, 'epoch': 0.01}
{'loss': 0.3864, 'grad_norm': 0.5178747773170471, 'learning_rate': 0.00019875509766044216, 'epoch': 0.02}
{'loss': 0.2992, 'grad_norm': 0.42412638664245605, 'learning_rate': 0.0001983258209916291, 'epoch': 0.03}
{'loss': 0.3408, 'grad_norm': 0.39679500460624695, 'learning_rate': 0.00019789654432281605, 'epoch': 0.03}
{'loss': 0.3109, 'grad_norm': 0.43715789914131165, 'learning_rate': 0.00019746726765400302, 'epoch': 0.04}
{'loss': 0.2924, 'grad_norm': 0.3352281153202057, 'learning_rate': 0.00019703799098518996, 'epoch': 0.05}
{'loss': 0.2703, 'grad_norm': 0.3760666251182556, 'learning_rate': 0.0001966087143163769, 'epoch': 0.05}
{'loss': 0.2619, 'grad_norm': 0.38992807269096375, 'learning_rate': 0.00019617943764756385, 'epoch': 0.06}
{'loss': 0.2848, 'grad_norm': 0.6402007937431335, 'learning_rate': 0.0001957501609787508, 'epoch': 0.06}
{'eval_loss': 0.2537468373775482, 'eval_runtime': 59.6628, 'eval_samples_per_second': 23.13, 'eval_steps_per_second': 11.565, 'epoch': 0.06}
{'loss': 0.268, 'grad_norm': 0.478681355714798, 'learning_rate': 0.00019532088430993777, 'epoch': 0.07}
{'loss': 0.2427, 'grad_norm': 0.6049267053604126, 'learning_rate': 0.00019489160764112471, 'epoch': 0.08}
{'loss': 0.2501, 'grad_norm': 0.6080378890037537, 'learning_rate': 0.00019446233097231166, 'epoch': 0.08}
{'loss': 0.2304, 'grad_norm': 0.4924575686454773, 'learning_rate': 0.0001940330543034986, 'epoch': 0.09}
{'loss': 0.2649, 'grad_norm': 0.5087893009185791, 'learning_rate': 0.00019360377763468555, 'epoch': 0.1}
{'loss': 0.2111, 'grad_norm': 0.47507384419441223, 'learning_rate': 0.0001931745009658725, 'epoch': 0.1}
{'loss': 0.1855, 'grad_norm': 0.666732907295227, 'learning_rate': 0.00019274522429705947, 'epoch': 0.11}
{'loss': 0.2068, 'grad_norm': 0.5399386882781982, 'learning_rate': 0.0001923159476282464, 'epoch': 0.12}
{'loss': 0.2706, 'grad_norm': 0.6318010091781616, 'learning_rate': 0.00019188667095943336, 'epoch': 0.12}
{'loss': 0.1946, 'grad_norm': 0.47946879267692566, 'learning_rate': 0.0001914573942906203, 'epoch': 0.13}
{'eval_loss': 0.21449895203113556, 'eval_runtime': 59.9517, 'eval_samples_per_second': 23.019, 'eval_steps_per_second': 11.509, 'epoch': 0.13}
{'loss': 0.2132, 'grad_norm': 0.709381103515625, 'learning_rate': 0.00019102811762180725, 'epoch': 0.14}
{'loss': 0.2144, 'grad_norm': 0.5208654999732971, 'learning_rate': 0.00019059884095299422, 'epoch': 0.14}
{'loss': 0.2049, 'grad_norm': 0.60167396068573, 'learning_rate': 0.00019016956428418116, 'epoch': 0.15}
{'loss': 0.2014, 'grad_norm': 0.7874701023101807, 'learning_rate': 0.0001897402876153681, 'epoch': 0.15}
{'loss': 0.2129, 'grad_norm': 0.822187602519989, 'learning_rate': 0.00018931101094655505, 'epoch': 0.16}
{'loss': 0.1723, 'grad_norm': 0.7006474137306213, 'learning_rate': 0.000188881734277742, 'epoch': 0.17}
{'loss': 0.173, 'grad_norm': 0.7599741816520691, 'learning_rate': 0.00018845245760892894, 'epoch': 0.17}
{'loss': 0.1759, 'grad_norm': 0.5072543025016785, 'learning_rate': 0.00018802318094011592, 'epoch': 0.18}
{'loss': 0.229, 'grad_norm': 0.6146864891052246, 'learning_rate': 0.00018759390427130286, 'epoch': 0.19}
{'loss': 0.166, 'grad_norm': 0.47243502736091614, 'learning_rate': 0.0001871646276024898, 'epoch': 0.19}
{'eval_loss': 0.18440644443035126, 'eval_runtime': 60.0735, 'eval_samples_per_second': 22.972, 'eval_steps_per_second': 11.486, 'epoch': 0.19}
{'loss': 0.1763, 'grad_norm': 0.5405078530311584, 'learning_rate': 0.00018673535093367675, 'epoch': 0.2}
{'loss': 0.1819, 'grad_norm': 0.8676806688308716, 'learning_rate': 0.0001863060742648637, 'epoch': 0.21}
{'loss': 0.2024, 'grad_norm': 0.5934164524078369, 'learning_rate': 0.00018587679759605067, 'epoch': 0.21}
{'loss': 0.1732, 'grad_norm': 0.4816151559352875, 'learning_rate': 0.0001854475209272376, 'epoch': 0.22}
{'loss': 0.1789, 'grad_norm': 0.5610256195068359, 'learning_rate': 0.00018501824425842456, 'epoch': 0.23}
{'loss': 0.19, 'grad_norm': 0.6486479043960571, 'learning_rate': 0.0001845889675896115, 'epoch': 0.23}
{'loss': 0.1244, 'grad_norm': 0.5422216057777405, 'learning_rate': 0.00018415969092079845, 'epoch': 0.24}
{'loss': 0.1885, 'grad_norm': 0.7855091094970703, 'learning_rate': 0.0001837304142519854, 'epoch': 0.24}
{'loss': 0.1413, 'grad_norm': 0.4507746696472168, 'learning_rate': 0.00018330113758317237, 'epoch': 0.25}
{'loss': 0.1633, 'grad_norm': 0.5402660369873047, 'learning_rate': 0.0001828718609143593, 'epoch': 0.26}
{'eval_loss': 0.1639384627342224, 'eval_runtime': 59.9943, 'eval_samples_per_second': 23.002, 'eval_steps_per_second': 11.501, 'epoch': 0.26}
{'loss': 0.1553, 'grad_norm': 0.9296799302101135, 'learning_rate': 0.00018244258424554626, 'epoch': 0.26}
{'loss': 0.2117, 'grad_norm': 0.5198810696601868, 'learning_rate': 0.0001820133075767332, 'epoch': 0.27}
{'loss': 0.1445, 'grad_norm': 0.5951313972473145, 'learning_rate': 0.00018158403090792015, 'epoch': 0.28}
{'loss': 0.1488, 'grad_norm': 0.6037570834159851, 'learning_rate': 0.00018115475423910712, 'epoch': 0.28}
{'loss': 0.1261, 'grad_norm': 0.5312662720680237, 'learning_rate': 0.00018072547757029406, 'epoch': 0.29}
{'loss': 0.1588, 'grad_norm': 0.8958166241645813, 'learning_rate': 0.000180296200901481, 'epoch': 0.3}
{'loss': 0.1837, 'grad_norm': 1.199870228767395, 'learning_rate': 0.00017986692423266795, 'epoch': 0.3}
{'loss': 0.1207, 'grad_norm': 0.5790208578109741, 'learning_rate': 0.0001794376475638549, 'epoch': 0.31}
{'loss': 0.1515, 'grad_norm': 0.6081742644309998, 'learning_rate': 0.00017900837089504184, 'epoch': 0.32}
{'loss': 0.1617, 'grad_norm': 0.7204068303108215, 'learning_rate': 0.00017857909422622882, 'epoch': 0.32}
{'eval_loss': 0.15330056846141815, 'eval_runtime': 59.954, 'eval_samples_per_second': 23.018, 'eval_steps_per_second': 11.509, 'epoch': 0.32}
{'loss': 0.1577, 'grad_norm': 0.6463168859481812, 'learning_rate': 0.00017814981755741576, 'epoch': 0.33}
{'loss': 0.1611, 'grad_norm': 0.43138808012008667, 'learning_rate': 0.0001777205408886027, 'epoch': 0.33}
{'loss': 0.1231, 'grad_norm': 0.4442966878414154, 'learning_rate': 0.00017729126421978965, 'epoch': 0.34}
{'loss': 0.1442, 'grad_norm': 0.6218720078468323, 'learning_rate': 0.0001768619875509766, 'epoch': 0.35}
{'loss': 0.159, 'grad_norm': 0.6595197319984436, 'learning_rate': 0.00017643271088216357, 'epoch': 0.35}
{'loss': 0.1359, 'grad_norm': 0.5777373909950256, 'learning_rate': 0.0001760034342133505, 'epoch': 0.36}
{'loss': 0.1322, 'grad_norm': 0.4758758246898651, 'learning_rate': 0.00017557415754453746, 'epoch': 0.37}
{'loss': 0.1746, 'grad_norm': 0.44986626505851746, 'learning_rate': 0.0001751448808757244, 'epoch': 0.37}
{'loss': 0.1204, 'grad_norm': 0.37320080399513245, 'learning_rate': 0.00017471560420691135, 'epoch': 0.38}
{'loss': 0.1325, 'grad_norm': 0.7615585923194885, 'learning_rate': 0.0001742863275380983, 'epoch': 0.39}
{'eval_loss': 0.1460898369550705, 'eval_runtime': 60.6169, 'eval_samples_per_second': 22.766, 'eval_steps_per_second': 11.383, 'epoch': 0.39}
{'loss': 0.1277, 'grad_norm': 0.42363423109054565, 'learning_rate': 0.00017385705086928526, 'epoch': 0.39}
{'loss': 0.1211, 'grad_norm': 0.3440960943698883, 'learning_rate': 0.0001734277742004722, 'epoch': 0.4}
{'loss': 0.1273, 'grad_norm': 0.6099276542663574, 'learning_rate': 0.00017299849753165915, 'epoch': 0.41}
{'loss': 0.1301, 'grad_norm': 0.6293041110038757, 'learning_rate': 0.0001725692208628461, 'epoch': 0.41}
{'loss': 0.1181, 'grad_norm': 0.4882982671260834, 'learning_rate': 0.00017213994419403304, 'epoch': 0.42}
{'loss': 0.1558, 'grad_norm': 0.3567936420440674, 'learning_rate': 0.00017171066752522002, 'epoch': 0.43}
{'loss': 0.1565, 'grad_norm': 0.5096558928489685, 'learning_rate': 0.00017128139085640696, 'epoch': 0.43}
{'loss': 0.1423, 'grad_norm': 0.7858064770698547, 'learning_rate': 0.0001708521141875939, 'epoch': 0.44}
{'loss': 0.1238, 'grad_norm': 0.3808780312538147, 'learning_rate': 0.00017042283751878085, 'epoch': 0.44}
{'loss': 0.1465, 'grad_norm': 0.6511477828025818, 'learning_rate': 0.0001699935608499678, 'epoch': 0.45}
{'eval_loss': 0.14223000407218933, 'eval_runtime': 60.1286, 'eval_samples_per_second': 22.951, 'eval_steps_per_second': 11.475, 'epoch': 0.45}
{'loss': 0.1552, 'grad_norm': 0.39566391706466675, 'learning_rate': 0.00016956428418115474, 'epoch': 0.46}
{'loss': 0.1256, 'grad_norm': 0.8340907096862793, 'learning_rate': 0.00016913500751234171, 'epoch': 0.46}
{'loss': 0.1407, 'grad_norm': 0.44997426867485046, 'learning_rate': 0.00016870573084352866, 'epoch': 0.47}
{'loss': 0.1475, 'grad_norm': 0.4446692168712616, 'learning_rate': 0.0001682764541747156, 'epoch': 0.48}
{'loss': 0.1195, 'grad_norm': 0.7459776401519775, 'learning_rate': 0.00016784717750590255, 'epoch': 0.48}
{'loss': 0.1468, 'grad_norm': 0.3703021705150604, 'learning_rate': 0.0001674179008370895, 'epoch': 0.49}
